2048-android,uberspot/2048-android
soundboard,meonwax/soundboard
SoundRecorder,dkim0419/SoundRecorder
spacecowboy-NotePad,spacecowboy/NotePad
SparkleShare-Android,NewProggie/SparkleShare-Android
speech_trainer,wrr/speech_trainer
SpeedMeter,flyingrub/SpeedMeter
stardroid,sky-map-team/stardroid
StockTicker,premnirmal/StockTicker
Subsonic,daneren2005/Subsonic
SuntimesWidget,forrestguice/SuntimesWidget
Swiftnotes,adrianchifor/Swiftnotes
swiftp,ppareit/swiftp
syncthing,syncthing/syncthing-android
Tachiyomi,inorichi/tachiyomi
tickmate,lordi/tickmate
Timber,naman14/Timber
TimisoaraPublicTransport,MihaiBalint/TimisoaraPublicTransport
tinc_gui,Vilbrekin/tinc_gui
Tinfoil-Facebook,velazcod/Tinfoil-Facebook
toposuite-android,hgdev-ch/toposuite-android
traccar-client-android,tananaev/traccar-client-android
trackworktime,mathisdt/trackworktime
transdroid,erickok/transdroid
transdroid-search,erickok/transdroid-search
Transistor,y20k/transistor
Transportr,grote/Transportr
TransportsRennes,ybonnel/TransportsRennes
trezor-android,trezor/trezor-android
trickytripper,koelleChristian/trickytripper
tripmobile,TripSit/tripmobile
ttrss-reader-fork,nilsbraden/ttrss-reader-fork
tuiodroid,TobiasSchwirten/tuiodroid
tuner,billthefarmer/tuner
TVHGuide,john-tornblom/TVHGuide
Twidere-Android,TwidereProject/Twidere-Android
uhabits,iSoron/uhabits
UnitConverterUltimate,physphil/UnitConverterUltimate
unix-time-clock-widget,lucasdnd/unix-time-clock-widget
upm-android,adrian/upm-android
vanilla-headphone-detector,vanilla-music/vanilla-headphone-detector
Vanilla,vanilla-music/vanilla
Vector-Pinball,dozingcat/Vector-Pinball
voipms-sms-client,michaelkourlas/voipms-sms-client
Wake-On-Lan,mafrosis/Wake-On-Lan
wallabag-android-app,wallabag/android-app
webTube,martykan/webTube
Weechat,ubergeek42/weechat-android
WhatsAppBetaUpdater,javiersantos/WhatsAppBetaUpdater
WhereYouGo,biylda/WhereYouGo
WifiAnalyzer,VREMSoftwareDevelopment/WifiAnalyzer
WIFI_EAP_SIM_Conf,SLoeuillet/WIFI_EAP_SIM_Conf
Wifi-Fixer,Zanshinmu/Wifi-Fixer
wifireminders,glesik/wifireminders
wigle-wifi-wardriving,wiglenet/wigle-wifi-wardriving
wikijourney_app,WikiJourney/wikijourney_app
wikipoff,conchyliculture/wikipoff
wpgen,glesik/wpgen
xabber-android,redsolution/xabber-android
Yaaic,pocmo/Yaaic
yubioath-android,Yubico/yubioath-android
